key,value
season,2026
current_target_week,2
last_model_refresh,2026-09-16
next_scheduled_refresh,2026-09-23 03:00 CT
timezone,America/Chicago
scoring_version,v0.5 production candidate + v0.4 audit
source_repo,davidcantugtr/nfl-Rushing-Stats
sheet_mode,GitHub source-of-truth + Google Sheets live display
sharp_status,Last verified preseason 2026-09-06; stale pending accessible Sharp refresh
public_defense_status,2026 Week 1 completed; current-season evidence available but one-game sample
validation_status,Week 2 schedule confirmed via NFL.com; Week 1 archive preserved; full live recalculation requires regenerated 2026 Q1 dataset
